FuelType,CityDistrict,Year,NoOfVehicles
Benzin,Bydel - Amager Vest,2006,8601
Benzin,Bydel - Amager Vest,2007,9259
Benzin,Bydel - Amager Vest,2008,9714
Benzin,Bydel - Amager Vest,2009,9791
Benzin,Bydel - Amager Vest,2010,9875
Benzin,Bydel - Amager Vest,2011,9914
Benzin,Bydel - Amager Vest,2012,9903
Benzin,Bydel - Amager Vest,2013,10016
Benzin,Bydel - Amager Vest,2014,10292
Benzin,Bydel - Amager Vest,2015,10594
Benzin,Bydel - Amager Vest,2016,11162
Benzin,Bydel - Amager Vest,2017,11482
Benzin,Bydel - Amager Vest,2018,11831
Benzin,Bydel - Amager Vest,2019,12192
Benzin,Bydel - Amager Vest,2020,12695
Benzin,Bydel - Amager Vest,2021,13272
Benzin,Bydel - Amager Vest,2022,13580
Benzin,Bydel - Amager Vest,2023,13035
Benzin,Bydel - Amager Vest,2024,12553
Benzin,Bydel - Amager Øst,2006,8395
Benzin,Bydel - Amager Øst,2007,8673
Benzin,Bydel - Amager Øst,2008,8782
Benzin,Bydel - Amager Øst,2009,8741
Benzin,Bydel - Amager Øst,2010,8637
Benzin,Bydel - Amager Øst,2011,8543
Benzin,Bydel - Amager Øst,2012,8360
Benzin,Bydel - Amager Øst,2013,8367
Benzin,Bydel - Amager Øst,2014,8531
Benzin,Bydel - Amager Øst,2015,8833
Benzin,Bydel - Amager Øst,2016,9010
Benzin,Bydel - Amager Øst,2017,9378
Benzin,Bydel - Amager Øst,2018,9644
Benzin,Bydel - Amager Øst,2019,9934
Benzin,Bydel - Amager Øst,2020,10144
Benzin,Bydel - Amager Øst,2021,10815
Benzin,Bydel - Amager Øst,2022,10925
Benzin,Bydel - Amager Øst,2023,10442
Benzin,Bydel - Amager Øst,2024,10094
Benzin,Bydel - Bispebjerg,2006,7241
Benzin,Bydel - Bispebjerg,2007,7436
Benzin,Bydel - Bispebjerg,2008,7661
Benzin,Bydel - Bispebjerg,2009,7523
Benzin,Bydel - Bispebjerg,2010,7551
Benzin,Bydel - Bispebjerg,2011,7508
Benzin,Bydel - Bispebjerg,2012,7455
Benzin,Bydel - Bispebjerg,2013,7449
Benzin,Bydel - Bispebjerg,2014,7596
Benzin,Bydel - Bispebjerg,2015,7776
Benzin,Bydel - Bispebjerg,2016,7844
Benzin,Bydel - Bispebjerg,2017,8124
Benzin,Bydel - Bispebjerg,2018,8221
Benzin,Bydel - Bispebjerg,2019,8460
Benzin,Bydel - Bispebjerg,2020,8627
Benzin,Bydel - Bispebjerg,2021,9026
Benzin,Bydel - Bispebjerg,2022,9092
Benzin,Bydel - Bispebjerg,2023,8864
Benzin,Bydel - Bispebjerg,2024,8716
Benzin,Bydel - Brønshøj-Husum,2006,8493
Benzin,Bydel - Brønshøj-Husum,2007,8633
Benzin,Bydel - Brønshøj-Husum,2008,8619
Benzin,Bydel - Brønshøj-Husum,2009,8557
Benzin,Bydel - Brønshøj-Husum,2010,8405
Benzin,Bydel - Brønshøj-Husum,2011,8413
Benzin,Bydel - Brønshøj-Husum,2012,8378
Benzin,Bydel - Brønshøj-Husum,2013,8391
Benzin,Bydel - Brønshøj-Husum,2014,8440
Benzin,Bydel - Brønshøj-Husum,2015,8519
Benzin,Bydel - Brønshøj-Husum,2016,8739
Benzin,Bydel - Brønshøj-Husum,2017,8871
Benzin,Bydel - Brønshøj-Husum,2018,8966
Benzin,Bydel - Brønshøj-Husum,2019,9083
Benzin,Bydel - Brønshøj-Husum,2020,9333
Benzin,Bydel - Brønshøj-Husum,2021,9412
Benzin,Bydel - Brønshøj-Husum,2022,9333
Benzin,Bydel - Brønshøj-Husum,2023,9170
Benzin,Bydel - Brønshøj-Husum,2024,9013
Benzin,Bydel - Indre By,2006,8675
Benzin,Bydel - Indre By,2007,9015
