FuelType,CityDistrict,Year,NoOfVehicles
Benzin,Lokaludvalg - Amager Vest,2006,8601
Benzin,Lokaludvalg - Amager Vest,2007,9259
Benzin,Lokaludvalg - Amager Vest,2008,9714
Benzin,Lokaludvalg - Amager Vest,2009,9791
Benzin,Lokaludvalg - Amager Vest,2010,9875
Benzin,Lokaludvalg - Amager Vest,2011,9914
Benzin,Lokaludvalg - Amager Vest,2012,9903
Benzin,Lokaludvalg - Amager Vest,2013,10016
Benzin,Lokaludvalg - Amager Vest,2014,10292
Benzin,Lokaludvalg - Amager Vest,2015,10594
Benzin,Lokaludvalg - Amager Vest,2016,11162
Benzin,Lokaludvalg - Amager Vest,2017,11482
Benzin,Lokaludvalg - Amager Vest,2018,11831
Benzin,Lokaludvalg - Amager Vest,2019,12192
Benzin,Lokaludvalg - Amager Vest,2020,12695
Benzin,Lokaludvalg - Amager Vest,2021,13272
Benzin,Lokaludvalg - Amager Vest,2022,13580
Benzin,Lokaludvalg - Amager Vest,2023,13035
Benzin,Lokaludvalg - Amager Vest,2024,12553
Benzin,Lokaludvalg - Amager Øst,2006,8395
Benzin,Lokaludvalg - Amager Øst,2007,8673
Benzin,Lokaludvalg - Amager Øst,2008,8782
Benzin,Lokaludvalg - Amager Øst,2009,8741
Benzin,Lokaludvalg - Amager Øst,2010,8637
Benzin,Lokaludvalg - Amager Øst,2011,8543
Benzin,Lokaludvalg - Amager Øst,2012,8360
Benzin,Lokaludvalg - Amager Øst,2013,8367
Benzin,Lokaludvalg - Amager Øst,2014,8531
Benzin,Lokaludvalg - Amager Øst,2015,8833
Benzin,Lokaludvalg - Amager Øst,2016,9010
Benzin,Lokaludvalg - Amager Øst,2017,9378
Benzin,Lokaludvalg - Amager Øst,2018,9644
Benzin,Lokaludvalg - Amager Øst,2019,9934
Benzin,Lokaludvalg - Amager Øst,2020,10144
Benzin,Lokaludvalg - Amager Øst,2021,10815
Benzin,Lokaludvalg - Amager Øst,2022,10925
Benzin,Lokaludvalg - Amager Øst,2023,10442
Benzin,Lokaludvalg - Amager Øst,2024,10094
Benzin,Lokaludvalg - Bispebjerg,2006,7241
Benzin,Lokaludvalg - Bispebjerg,2007,7436
Benzin,Lokaludvalg - Bispebjerg,2008,7661
Benzin,Lokaludvalg - Bispebjerg,2009,7523
Benzin,Lokaludvalg - Bispebjerg,2010,7551
Benzin,Lokaludvalg - Bispebjerg,2011,7508
Benzin,Lokaludvalg - Bispebjerg,2012,7455
Benzin,Lokaludvalg - Bispebjerg,2013,7449
Benzin,Lokaludvalg - Bispebjerg,2014,7596
Benzin,Lokaludvalg - Bispebjerg,2015,7776
Benzin,Lokaludvalg - Bispebjerg,2016,7844
Benzin,Lokaludvalg - Bispebjerg,2017,8124
